I'm kinda sleepy. might go and read #eclipse and then sleep.	eclipse	eclipse	Eclipse
well, f*#k. not looking good for iranian peeps.  damn it.	k	K	k
#pmqs is unsurprisingly rather rowdy this morning	pmqs	pmqs
Clobbered on thehead with 14" 2x4, ouch no good, may need stiches   #stupidaccident	stupidaccident	stupid accident
the world is Crazy  #Azadi	Azadi	azadi
Tip for the #IT - #nerd - #geek community: http://stackoverflow.com/ is something very neat! The concept is genius  #stackoverflow #java	nerd	nerd
@AIT introducing ourselves  #HKS	HKS	HKS
Working on some #websites today. doing a little bit of designing, lets see how that works out.  I love #web #development	development	development
Only 2 day's til #iPhone3.0 #apple	apple	Apple
My friend got LVATT before anyone, she got it on the 13th of june  #LVATT	LVATT	LVATT
#asot400 NOOOO! technology fail! bring me back my music!	asot400	asot400	asot 400	ASOT 400
@KateEdwards you dont have to bring anything - it's yr place  #katesparty	katesparty	kate's party	Kate's party
Buon Giorno, #Twitterverse! That's #"good morning" in Italian, of course. My boss is wearing a wig today, she looks like Mary J. Blige	Twitterverse	twitterverse
@larryheim Hehe, it's so true.  Everytime I pick up my copy, I look in the mirror and then put it back down. #hopelessness	hopelessness	hopelessness
Can't wait for #ichthusfestival in 9 days and I get to see my best friend! Woohoo! Can't wait to see Delirious? either!	ichthusfestival	Ichthus Festival
#russians murder midget #alien. It's in #pravda so it must be true  http://bit.ly/Y9k5g	russians	russians	Russians
@KMC1121 Hey good morning bud! I expect Twitter to pay a special Bday tribute 2 me  and work on ya vocals now #nofakery lol!	nofakery	no fakery
I learned the other day that Ziad Baroud is also a fellow #YGL, doubly proud	YGL	YGL	ygl
@Glasgowlassy I know  wrong pants to wear to go running pmsl @violetscruk #chaffedpussy	chaffedpussy	chaffed pussy
@carmenparnos thanks so much for the belated #followfriday shout out #payingitforward	payingitforward	paying it forward
Thanks, you guys!  #thankstwitter	thankstwitter	thanks twitter
@mpoppel YES to both!! #worldfail maybe	worldfail	world fail
@purrplexa And its a wonderful thing!  I'm all in favor of using the entire English language (shit, I use #expletives too, I think)	expletives	expletives
Overall first impression: Good and simple search, very fast. Of course searched first for "djsojus" - no results  #OneRiot	OneRiot	one riot
@jsjv didi you wanna learn Italiano after watching #AngelsandDemons? am in B'lore moved to marketting and branding	AngelsandDemons	Angels and Demons
Anyone else having difficulties with the translation on #europarlTV? English doesn't work anymore for me  #ep09 #eu09	europarlTV	Europarl tv
@johncessna Yes sir, I REALLY hope you get your hands on a d400 and then let us shoot stuff with it  #SummerTimeFilmmaking!	SummerTimeFilmmaking	Summer Time Filmmaking	summer time filmmaking
@monkeysean89 Hey, just looking through last night's...wow! I'm glad you're OK! Poor monkey   #Takecareofyourmonkeyself!	Takecareofyourmonkeyself	Take care of your monkey self
Oops that would be #edaust09	edaust09	Ed Aust 09
#ComicCon is one of the reasons I don't like living in Italy	ComicCon	comic con	Comic-Con
@aurora7 I an scheduled to work during #twisto unless someone will swap with me	twisto	twisto
missing westfest tonight   wish i was back in michigan.  #pacsun til close	pacsun	pacsun	PacSun
@happymalesingle just try it  #mut #machen	machen	machen
It seems dumb to not have a 'concede' option in #dotp multiplayer yet to count wins.  Need 1 more win for achievement but opponent quit	dotp	DotP
@brodaigh following #railscamp peeps is all good  I think we met at Jan Melb ruby meet. Was chatting at 3 degrees with you and @mikebailey	railscamp	Rails Camp
this #balkanictweetup put a lot of slavic languages in my stream.  what the hell are you saying?	balkanictweetup	Balkanic tweetup
PK: will be passing the hat around later on #moc	moc	MOC	moc
@shruticute Yeah junior artist doing the 10th std Surya role. Then also the train scene  #muhahaha	muhahaha	muhahaha
@nohypeActivist gerne.  Buffetzeit ist immer von 12 bis 16:30.  #Lunch #YellowRiver	Lunch	Lunch
Enjoying some roasted Penguin for breakfast this morning.  #letsgoredwings	letsgoredwings	lets go Red Wings
What a lovely day for a train ride! Gotta go and see a client in Clacton.  #essex	essex	essex	Essex
Too bad.. I really wanted to see #Kobe against #LeBron in The Finals	Kobe	Kobe
#Phototip Look up! Don't forget to look up as there might be something really pretty up there.	Phototip	Photo tip
All I can say is if you have an iPhone/iPod Touch and you love #Coldplay you should definitely buy it!! I love it!!! Plus it's on sale.	Coldplay	Coldplay
Ok totally out of the loop here #idontunderstand when #whenItypewitha# what it #means   o.O	means	means
Haave To gO nOW  haha  byee dont miss me to much www.youtube.com/callumis1   #website soon wohooo!!!xx	website	website
@EvanBlake Good times, good times. It looks like your friend didn't like us though  #decemberists	decemberists	decemberists
kinda sad I'm not at #smxadvanced	smxadvanced	smx advanced
I'm being eaten alive in my sleep.  #itchy	itchy	itchy
13 laptops were stolen where I teach summer school ... and I'm the computer teacher.  mental #edtech note: write down serial #s from n ...	edtech	edtech
Julito77 -You rock and thanks for picking on me   #vivaviernes	vivaviernes	viva viernes
going through another viewing of the first season of #dexter while reading the book  only slight differences so far	dexter	Dexter
#CFA lvl2, t-5 days! And here I sit at work	CFA	CFA
indratwas wondering why scaled images in ff/linux were fugly compared to #xp or #osx turns out to be cos of: http://bit.ly/26HpFy	osx	os x	osx	OS X
On my way to the airport to pick my brother up   Using the mobile broadband to stay connected. Love this thing lol. #Jordy26	Jordy26	jordy 26
I never flipped a table when I lived in New Jersey   #realhousewives #realitytv	realitytv	reality tv
@SkaPunkPezzy wow, no story with that #fml? Must be bad	fml	FML
My dad just called. United cancelled his flight. Said they'd put him on the same flight tomorrow.  #unitedfail	unitedfail	United fail	united fail
attending #TechNet virtual conference today,if I can stay awake after another night (4 out of 4 this week) of #exchange callout problems	TechNet	TechNet
@openspacephoto u beat me! On #EatWillGrow  lol	EatWillGrow	EatWillGrow
@YourTherapist grateful for therapists with training in #PTSD who work with #trauma survivors	trauma	trauma
Negroponte: another solution - do it through the children themselves with a tool made for them, for eduction, not for office work  #wsis09	wsis09	WSIS 09
Looks like only 2 chicks now in the Barn Trust Nest Box,  http://bit.ly/glgdo #barnowl	barnowl	barn owl
Sad way to end the game.  Citi is pretty. #citifield #mets #brewers	brewers	brewers
Just realised that my wonderful background on Twitter won't show in some places at all.  \Chrome/ #revalation	revalation	revalation
@nardgo LOL .. rabena yestor .. Kwayes eny msh fe Cairo  .. BTW Will you go to #DemoCamp #Cairo ?	Cairo	Cairo
OK, Navy LEvy at IGT Cloud Summit is almost done... now it's my turn! #TelAviv #aws #igt #CoolGuyNamedSimone	TelAviv	Tel Aviv	tel aviv
I noticed a lot of Apple product placement tonight  #hhrs	hhrs	hhrs
had nearly 10000 visits to #herebeforeaplusk since 5am this morning	herebeforeaplusk	here before aplusk
@h3nk: Beware of the L:Hannover #foosball animals! Need @PatrickHSV in here, too.	foosball	foosball
My last night in cali                                           #beatfreaks                 #KOVASisthefuture	beatfreaks	beat freaks	beatfreaks
@tynie626 Shit! I blocked lava! I'm following,but, hope block lifted. It's all the #britneycockblock ing I've had to do.	britneycockblock	britney cock block	Britney cock block
#iREMEMBER when he loved me	iREMEMBER	iREMEMBER	I remember
@AeonGotBeats dang  #parkview  (dunno if i got my twitter syntax straight	parkview	park view
In hockey news, #caps AHL team the #bears took a 1-0 series lead in the Calder Cup finals  ....#ontd	bears	Bears	bears
Wieviele Events kann man eigentlich mit #Google #Analytics per _trackEvent anlegen? #Possible #Showstopper	Showstopper	show-stopper	Show stopper	Showstopper	showstopper
Sending text messages to the wrong person = #NotHot	NotHot	Not Hot
#openfest - mmm yum search virtual sex	openfest	open fest	openfest
@gfriend, @mcleantech re: "Rich & Rewarding #sb09" Thanks so much for the shared vision and collaboration.  On we go	sb09	sb 09
Bought my new Ford today!  So happy!  It's home   Only 4 days until CRNC in DC  #crnc #sgp #tcot #migop #gopyouth	crnc	CRNC
I bet #ammar404 is planning a meeting next week to put together a contingency plan in case #twitter becomes too dangerous	ammar404	Ammar 404
@SirRawlins We seriously need to organise a #ukcoldfusionpissup somewhere in the UK. All stay over. Seems most CF devs r up for beer.	ukcoldfusionpissup	UK cold fusion piss up
@logicgeek Some people should #dieinamethfire	dieinamethfire	Die In A Meth Fire	die in a meth fire
First time using song twit.  Uploaded "This is Us" by Keisha Cole because, well, I like this song,  #sngtwt http://songtwit.com/?BU	sngtwt	sng twt
Fix the freaking buses are trying to deafen us  #sicamp	sicamp	SiCamp
#vwll2009 Would one of the VWLLers want to add this event to our Ning?   http://bit.ly/BF5sh  Would much appreciate that	vwll2009	vwll2009	vwll 2009	VWLL 2009
@HeyErnie just after send you my request for an invite, got a msg from @playspymaster with a bit.ly link, which is down   #crying	crying	crying
going to bed, hoping for our photos tomorrow.. good night tweeps  sleep well and dont stop #votetomfelton	votetomfelton	vote Tom Felton	vote tom felton
i hopes you all had a great day.i jumped on three cats and learned lots about #purpleiran from my dad.  actually i didn't learn anything.	purpleiran	purple iran
@tb78 Haha. No!  Take a pic of you in white socks and flipflops..go on,pleeeeeeeeeease. #footfetish#lovewhitesocks	footfetish	foot fetish
Hello I'm a newbie : Hello    I thought I'd come along and introduce myself     I've loved Disney fore... http://DIBB.me/ut7d6l #disney	disney	Disney
@KellyFerrara I didn't get to meet him  I had to leave #stltwitter early, so sorry I missed you!	stltwitter	STL twitter
Professor just walked in. Heaaaavy accent. I'm going to have trouble.  #summeratstony	summeratstony	summer at stony
@LadyMillzzz #ughettowhen the candy house is YOUR house lmfao	ughettowhen	u ghetto when
@bradgallaway #gcplay Finished? Wow. I just rescued the princess haha. Maybe Whittaker helped your strategy. Kids r so smart these days	gcplay	GC play
#LatLon 40.708836;-74.184948    WORK !!!   http://bit.ly/rLmYf	LatLon	Lat Lon	LatLon	Lat-Lon
@trallybby http://bit.ly/5Ptea  #lovestruck by @vfactory	lovestruck	lovestruck	love struck	love-struck
#blackkeys, #muchbetter & #heybaby are my favorite LVATT songs!  good job on an amazing new album, boys!	blackkeys	black keys
Watched ISolated INcident. He raped that comedy show! Hopefully we get to see him next month. If we don't that'd be kinda gay.  #danecook	danecook	Dane Cook
Everything went as planned!!! Now I have many many many new souvenirs from #Herschel and #Planck	Herschel	Herschel
it seems that I'm going to lose the big #lgp2009's feast   I hope you enjoy it as much as I did!	lgp2009	lGP 2009	lgp2009	lgp 2009
Thinking of quitting smoking then join @robangus on the #twitterquitter	twitterquitter	twitter quitter
installing #Sims3 w00t!	Sims3	Sims 3
Back in session after a great lunch with Richard MacManus  and Kalyia Hamlin   Now attending : 'Semantic Publishing' #semtmech2009	semtmech2009	semtmech 2009
#food #KFCPhilippines Ano mas masarap? Chicken na may talong? o Talong na may chicken?! hahaha... I love new KFC's rice bowl meals!!!	KFCPhilippines	KFC Philippines
I won the Bedfont Lakes #parkrun 5k this morning in 18:26.  OK, so there were no real fast people there but a win's a win right? Yay	parkrun	park run
@iluvgadgets It is not like entering the books, but like entering the ISBNs. Much less work.  #Librarything	Librarything	Library thing
Hoping @iamsuperbianca will plug #Chalk on her twitter	Chalk	Chalk
noooo NOOoOOoOoO listening to #angels on radio but i want it on tv! missing seeing Speier pitch AGAIN  i miss his stupid face.	angels	angels	Angels
I must say that #IGTCloud summit was less interesting than the previous one	IGTCloud	IGT cloud
Hoping for #australia to make a big score; wanna see #gayle go cuckoo with his shots  #cricket #t20	gayle	Gayle	gayle
@reveal74  Wow, NC #rpg geeks FTW!  We've got @GeeksDreamGirl, and @RolePlayGateway here too. I can't remember more.  #meetup?	rpg	rpg
@ChrisTom Congrats!!! I'm sorry I missed it.  How many we consumed? #piechamp	piechamp	Pie champ	pie champ
Too sad, missed sales days @panic.com n couldnt get #Coda for 1/2 price  #dissapointed	dissapointed	dissapointed
Disgusting  @sfgeek Hypocrisy: Crazy right fundies celebrating the murder of Doctor #Tiller : http://bit.ly/9P8fd	Tiller	Tiller
@corinh  this face is because I still have no #findthewine	findthewine	find the wine
Vino #2 being poured  #knockoneback (or two)	knockoneback	knock one back
oh ho really now!  instead of #YHK we have #BST ---> Britney Sex Tape	BST	BST
@kspidel I told her that #wvfn goes to dive bars and is most likely to slap down #fn groups at wussy supermarkets.	fn	fn
@amykate I've got to wait in for a plumber - so I can't - sorry  I will try to next week... #rdgsalsa	rdgsalsa	Rdg salsa	rdg salsa
#AGEEONFALLON @jimmyfallon PLEASE, BRING STEVE AGEE ON THE SHOW!!	AGEEONFALLON	AgeeonFallon	Agee on Fallon	AGEEON FALLON
retweetable links for designers  http://zyzik.wordpress.com #webdesign #seo #creative (via @allcreativ)	creative	creative
Ice cream and #smallville! Doesn't get much better	smallville	Smallville
Any media at the #sariver opening ceremony? Tweet me or find me (yellow dress) and I'll get you the low-down on this thing	sariver	sariver
Don't forget to Include the 'at' before the name when performing an action like #poke on someone @Rh2oh2. Have fun playing @TLGame	poke	poke	Poke
We lose  #Honduras	Honduras	Honduras
I love #BBC Antique shows! #CashInTheAttic has changed times on me	CashInTheAttic	Cash in the Attic
Gameplay Video #Assassin's_Creed_II http://bit.ly/yWAT1 Watch it!	Assassin	Assassin
@mobienthusiast My cat Loki brings in all sorts of lizards to show me, much to my dismay  #sandiego	sandiego	san diego
Putting together the entry form for "Win a trip to Pompeii"...unfortunately, I'm unable to enter  #mvcomms	mvcomms	MV COMMS
can soemone direct msg me when the #rewings or #penguins score? no tv & no radio	rewings	Rewings
what happened to <Default 'Reply to all,' by Mark K> addon in #gmail #labs ?  http://tinyurl.com/3rh25b	labs	labs
@naomidunne you know where the #Burrito train station is	Burrito	Burrito
@Dangerous_Lilly I had to pay for it.  I adore the pure wand, it's a work of art #g-spot #wow	g	g
@tenelilli I bought an extra sandwich just for you!  #watchchuck #chuckmemondays	watchchuck	watch chuck
Takk for Follow Friday @MacGeeky @gronevet @bjarteb  #ffnor	ffnor	ffnor
@Kovester Im a fellow #TirNuan  On #TirNua's journey while they build our virtual world... do u have Facebook?	TirNuan	TirNuan	Tir Nuan
Brb dying @ all the #welshmovies and LOL biol in like 3 hours	welshmovies	welsh movies
@renieravin yes ..  why is everyone asking the "leaglly?" question when it comes to #MS products.. Oh wait	MS	MS
@FullHdReady Okay chef!  #dandco	dandco	d and co.	d and co	dandco
#Norway Happy 17th of may! Just done cleaning up after arranging the local celebration. Forgot about my newly shaved head, got sunburnt	Norway	Norway
Going back to Richmond today...  can't I just stay here? #ilm	ilm	ilm	ILM
@mrskellybelly I JUST saw your DM! I probably seemed really rude! I'm sorry  Thanks so much, I love NOLA want to educate the nation. #nola	nola	nola
Why does #Twitter still say "from web," when I'm tweeting from #Snaptu? I suffer from #OCD. Things like that bother me.	OCD	OCD
just held a demo Pre (offline). feels great, nice size. keys will take some getting used to  #PreDay	PreDay	Pre Day
so i am a huge retard   #kitchenZUULcoffee	kitchenZUULcoffee	kitchen ZUUL coffee
Hollie was excellent. Very impressed but don't want her to win  #BGT	BGT	bgt	BGT
i guess there is no such as #Summer in #Germany!	Summer	summer	Summer
#dealbreaker teeth that look like you've been chewing on rocks ur entire life.	dealbreaker	deal breaker
@Sir_Almo@skylineproject i give you 300grams of chocolate to distribute as you wish   #choctwestival. Hey fellas. Sing out if needmor	choctwestival	choctwestival
@simonech And you directed them to Mono, the OpenSource version of .NET right? Includes ASP.NET MVC and Silverlight  #Mono #DotNet #OSS	Mono	Mono
@gastronauten My thoughts exactly!  #mgp2010	mgp2010	MGP 2010
Nothing at #EIFF now till Tuesday for me	EIFF	EIFF
I loved UP, didn't think they needed that type of villain. Story was great, looked like they reused some assets from past movies  #UP	UP	UP	Up	up
Going to sleep at #beachweek09  Awesome start to an awesome week	beachweek09	beach week 09
@EmmanuelGadenne unfortunatly, I do not use #Twollars But one day, I'll understand what it is and what is it used for.	Twollars	Twollars
#hawaiidaydreams - Aloha, I like the photos on yr site, reminds me of my time in Hawaii when my camera didn't work  Mahalo!	hawaiidaydreams	Hawaii daydreams	hawaii day dreams	hawaii daydreams
Killzone 2 is just wayyyy too awesome  #killzone	killzone	kill zone	killzone
@mollydotcom Ha ha, that is what people usually say about Germans.  #language	language	language
Burnley score a penalty #PNE  a long way to go...	PNE	PNE	pne
I spend more than a minute or so writing a single tweet, is that normal? :S #weird #ineedhelp	weird	weird
@nttajohn Thanks again for the postponement.  #iheartnttamerica	iheartnttamerica	I heart ntt America	I heart NTT America
@jcbortolini Awww.    I really hate to say it but maybe #hjntity which would make him beyond foolish imo but u seem to complain about him.	hjntity	hjntity
this afternoon with my best friend Robert to "Ribs & Blues", line up for this afternoon  http://ow.ly/akbw, ye get the blues baby  #blues	blues	Blues	blues
@fusicology is on her way down to #NOLA #JAZZFEST - last day!  We gonna gets our CHUCK BROWN + @djsoulsister on!  Its Go-Go time!	NOLA	NOLA
FRICK! Did a hard reset on my fone but 4got 2 save my contacts! @empressmile @melejane @soisoss pleez tex me ya #s thx  feelin hella #less	less	less
@diamondhead94 Heheh. I really enjoy their product names at #ikea they make me smile!	ikea	ikea	IKEA
Anyone kno temporary fixes for toothaches?  #tooyoungfordentures	tooyoungfordentures	too young for dentures
arranging meeting with mayor #alanya, by the way, i lied about the sunshine, its raining here	alanya	alanya
@balanair nice to catch up with you yesterday, tks for dropping by and see you in SilverCamp next week  #MSC #OSCONF	OSCONF	OS Conf	OSCONF
Looking at the pix from #dbuc09 - seems like everyone was doing good stuff - *almost* wish I wasn't in Nice at the time	dbuc09	DBUC 09
OMFG! #IMT's orientation program schedule's out. 5:30 AM to 12 in the night. That's just the first day!     http://tr.im/p8h5	IMT	IMT
@vivavelo and the best is that you feel younger in the #dolomites too ... well unless you ride each day hundreds of km	dolomites	Dolomites	dolomites
iBody price reduced for the next 3 days to $4.99! 6 hours ago but iTunes and App Store lags a little bit now  #ibody #iphone #health	ibody	ibody
Just bought the Decades Of Despair Tee/CD Combo  #decadesofdespair http://bit.ly/KMVf4	decadesofdespair	decades of despair
Left #Posh with #NewYorkCityBoy from #PetShopBoys. What a marvellous song for the last night! Enjoyed #NYC so much a get some new friends	PetShopBoys	Pet Shop Boys
@denisleary #Clue (1) the set to death to smoochie (2) edward norton (3) probably the penis cookies that rainbow randal makes ..its on tv	Clue	clue	Clue
Dangerous time in Iran is around midnight according to #ARD #TV... that's when Twitter will be down  (1:30a in Iran) #iran #iranelection	TV	TV
@sixtwosix #ispoor and #cantafford	ispoor	is poor
Be sure to use SPF no matter what ethnicity you are! Protect your skin and enjoy some natural Vitamin D  #pinkLuxetip	pinkLuxetip	pink Luxe tip
The #SIGINT09 website is an awesome mod of the MediaWiki engine. The best part is that you might never realize.  http://is.gd/zSAV	SIGINT09	SIGINT 09	SIGINT09
Looks like PSN as just crashed, can't log in. My Internet is fine, just when I was beginning to have fun.  #uncharted	uncharted	uncharted
Watching #tamronhall and #davidshuster on from 3pm to 5pm eastern..  It's a NEW day at #msnbc     @tamronhall @shuster1600	tamronhall	tamron hall
Votto on the DL    #reds	reds	reds
@GavinOsborn Had #vs2008 first then put #SQL2008 express. Did it on one go. No errors. Don't ever attempt to install #SQL2008 via WebPI.	SQL2008	SQL 2008
@owl_ A #CMA/AMC member, myself - it's nice meeting (beautyful) BC's #Museums Association on twitter! We now start following U... cheers	Museums	Museums
@g33kguy A cup of hot chocolate isn't exactly a great dinner, but I'm running with it. Smoothie sounds great  #veryexcellentsurprise	veryexcellentsurprise	very excellent surprise
@chucktvdotnet love the #chuck tweets- helps ease the pain of not being able to join in this week   hopefully next #chuckmemonday !!!	chuckmemonday	chuck me monday	Chuck me monday
#iwish I could pick between music business major or businss admin. major HELP	iwish	i wish	I wish	i Wish
Daily High: saw some familiar faces Daily Low: Not many tanners today  #tan	tan	tan
Just a warning #publicsphere if anyone tries to take photos of me tonight, I will not be held accountable for my actions, feeling tender	publicsphere	public sphere
@jennsteele @wseanie68 @KMHobbie We'll be tweeting, and probably breaking all sorts of other rules.   #ilta09	ilta09	ILTA 09
@BillBell Heeee #Coronation_Tweet what-- you have something against Pickle?	Coronation_Tweet	Coronation _ Tweet
@fakemansell no because I made myself a bit unwelcome and I feel bad for it   #moan	moan	moan
Was referred to as ma'am  I am getting old #premidlifecrisis	premidlifecrisis	pre-mid life crisis	pre-midlife crisis
Twitter is so quiet without @mantia  #freemantia	freemantia	free Mantia
@jasonpontius I thought it was whitewhale that was going to reinvent the web tomorrow.  #wheatonwebrenovation	wheatonwebrenovation	Wheaton Web renovation	wheaton web renovation
Hm, it seems the color pot in that #atari 800 is toast. Turning it changes nothing.	atari	Atari	atari
@dcconcierge I did not call it Romper Room... I just see so many of my friends here, it reminded me of Romper Room  #gov20	gov20	gov20	gov 20
Just because you can go shirtless, doesn't mean you should go shirtless  #putashirton	putashirton	put a shirt on
Anyone know if @TomTom are going to release a #GPS unit with #Bluetooth PAN support? If not my next GPS could well be non- #TomTom	TomTom	TomTom
@miagrl4always that's #goodtweets	goodtweets	good tweets
Beautiful day for a bike ride. Too bad the destination is discrimination  #yegbike #bill44	yegbike	yegbike	yeg bike	Yeg bike
#stuffwotimadeup Contact Big Brother to be a bb voice and you will! How fantastic, a bb fans dream	stuffwotimadeup	stuff wot i made up
@TomGriffola Not a fan of the Bulmers, but the Magners pear is AWESOME, I want slush puppy though!  #Hurryup #classy #omgimpatient!	Hurryup	Hurry Up	Hurry up
at the #Vodafone #MobileWidgetCamp	MobileWidgetCamp	MobileWidgetCamp	Mobile Widget Camp
Settling down for the evening to watch #TheWrestler on DVD	TheWrestler	The Wrestler
watched #newmoontrailer over again & omg, #taylorlautner is looking SO good!	newmoontrailer	New Moon Trailer
#pkz seems very popular. Got 3 instant replies in 1 minute...  Fatties !	pkz	pkz
I forgot...Pokemon Platinum is out now in the UK  #pokemonplatinum	pokemonplatinum	Pokemon Platinum
Watching Ballet Shoes on #ABC1. Starring @mwtsnx and that girl from SJA. Lolololz so far.  Missing Kevin Rudd PM on #Rove, though. :/	ABC1	ABC1	ABC 1
@Landfrau I am a treasure!  #cheated - used tanslator LOL	cheated	cheated
@Mrgareth Thanks for the plug  Live vid links @Oracle_JAPAC & Wendy's going to tweet w her paws @Wendy_Wendy #oracleopenworldtokyo	oracleopenworldtokyo	Oracle Open World Tokyo
just went with martti to get some new corals for his reef tank. I have to wait until I get back to UVA to start mine up  #aquarium	aquarium	aquarium
#hadopi is back  But now it's in the charge of MAM, the new minister of justice & not of the new minister of culture http://is.gd/1cR0d	hadopi	hadopi	Hadopi
I was going to head home and watch game 1 of the #NBAfinals (recorded last night), but I've just had the result spoiled.	NBAfinals	Nba finals	NBA finals	NBA Finals
has bought loads of #hotelchocolat goodies  and they're all.... FOR ME!!	hotelchocolat	hotel chocolat
is #Twittentionwhoreing: adding random people on twitter	Twittentionwhoreing	twittention whoreing
Ten TasteCasters at @hillsmarket. Learning about their smal farm meats. I was tardy to the party because if traffic  #hills	hills	hills
Welcome @pbcat #Follow #Freude	Freude	Freude
@Jschwa BTW Julie Hansen gave @angelsoft props at #Startup2009 when she thanked their sponsors	Startup2009	Startup 2009	Startup2009
@annawaits you'll never amount to anything like that. and you won't be able to join in on the #annalowmanisamassiveloser hashtag	annalowmanisamassiveloser	Anna Lowman is a massive loser
@erin82883 im anita, nice to kno you. i find you bcz of tht #petewentzday thingy. sadly its not working	petewentzday	pete wentz day
http://pypants.com/404_lol  never run your #djangodash project live with DEBUG=True if you want folks to find out your secret urls	djangodash	Django dash
@jamieaiken919  <333 Anything for you, my dear. #CliqueOfTwitter #foodnetworkstar	foodnetworkstar	food network star	Food Network Star
#imperfectangel	imperfectangel	i'm perfect angel	I'm perfect angel
@scottm Obvious Q would be how they can state that & not qualify it. Will Google to see if I can find anything  #godi'mbored	godi	godi
EA has announced "Charm Girls Club Pajama Party" game for Wii. Are the #TWPP girls interested?	TWPP	TWPP
New youtube video  http://bit.ly/BGlwy  #vidzone	vidzone	vidzone
@clairecmc Thanks for standing up for Jim Webb! From a guy who's from #VA and goes to school in #MO (and vol'd for your 06 campaign  )	MO	MO
Oh man #ccreunion09 night 2 was a HUGE success.  Now to hit the sack so damn hare, although munchies first!	ccreunion09	cc reunion 09	CC Reunion 09	ccreunion 09
@clopin Checkin' EVERYTHING out! #sms	sms	sms
No #MountainBike World Cup in #SouthAfrica in 2010	SouthAfrica	South Africa
@Knapkni glad to be twitter friends  will be fun to collaborate at #BWR #EuphonicSound #OpenWindow with you!	BWR	BWR
headed 2 #dollywood. Teenage girl w/ us dad died last year. Sad	dollywood	Dollywood
@MzBritaz YESSS!!! Come over to the #Green side!	Green	Green
We can fix that,@dahlbyk     #STLMossCamp	STLMossCamp	STL Moss Camp	stl moss camp
Anyone know how to get Title and Full text imported to #Tumblr from blogspot/blogger? It's not an option in customize.	Tumblr	Tumblr
@amirk nih mir.. Get Paid to Tweet, Facebook And Comment On Blogs  http://gawker.com/5253213 #notafraidtobeservicey #craigslist	notafraidtobeservicey	not afraid to be servicey
takes Kathleen to #ORD. She's off to Virginia for work.   http://twitpic.com/7gkux	ORD	ORD
whoa...the library is soooo small ;) I think I should not compare it to Germany. Only found management related books  #manila #diplarbeit	diplarbeit	diplarbeit
#icanhelp in shopping (deals), personal assistant, event planning!! I own GET IT TOGETHER, those are my services  jennifer.git@gmail.com	icanhelp	i can help
@lanebryant I have a question... what's their favorite dessert?  #LBModel	LBModel	LB Model	LBModel
@naehutch Yes I think dogs are the best for #depression ... wish i had a dog/could afford one.	depression	depression
@bradjward last year's #heweb08 promoted back channel as well.  Even had it up on screens during meals and meetings.	heweb08	heweb08	heweb 08
Lot's of busy work keeping me away from my workstation and thus from listening to #HHRS.	HHRS	HHRS
@adamd - (sigh)  sorry.  i was just caught up in all of the #ip6 excitement.  i'll be well behaved from here on out.  i promise.	ip6	IP 6
(@findingmickey) #ohatdl fantasmic canceled!	ohatdl	OHatDL
@LaceyJones I'd go, but I'm going to play #WSOP40 . I won 2 free tix to all HOB shows for year but haven't used any yet this month	WSOP40	WSOP 40
working out, laundry, bed. I have to go to work tomorrow  SO much for a long wkend. 19 days til #Timor..shiza	Timor	Timor
@keeponrunning #musicalmess.. I understand, got a 250 GB external hard drive almost full of music..I am sure I could purge...music OCD?	musicalmess	musical mess
the Gas company just started unloading heavy equipment outside in the street  #theregoestheweekend #fb	theregoestheweekend	there goes the weekend
@QueenofScots67 Silly in it, I've only been on twitter about 3 months and it was good to ff but now its got so annoying!  #antiff	antiff	antiff
LVATT isn't a tranding topic anymore  but #Trying Times is Oo haha weird!!	Trying	trying
Watching #tamronhall and #davidshuster on from 3pm to 5pm eastern..  It's a NEW day at #msnbc     @tamronhall @shuster1600	msnbc	MSNBC
just got back from 3 days camping with my brother's family.  #camping	camping	camping
@AndrewGarza sweet as. What are you going to do with them? Grid connect them? Or go off grid with batteries?  #solar	solar	solar
#rsc2009 Bummer! No coffee in the workshops section at the Swan hotel	rsc2009	rsc2009	rsc 2009
NOES!!!!!1!1!!! Have run out of space for lights  #dumbrun	dumbrun	dumb run	dumbrun
I have my high school reunion today (10 years after)...its a love / hate thing  #reunion	reunion	reunion
I'm on fakebook again  *sigh* #sadmacface	sadmacface	sad mac face
Drove a #Mazda #RX8 today and boy, that car is fun! Sadly though, I don't find my car that much fun any more	Mazda	Mazda
@wordcampchicago celebrating my 3rd blogiversary with you all tomorrow  #wcchicago	wcchicago	wcchicago	WC Chicago	Wc chicago	wc chicago
will be in Brisbane next week for #hivebris - shout out if you want to catch up for coffee/beer around then	hivebris	hive bris	Hive bris
I'm glad I missed the majority of this game. (via @TheRopolitans) you and me both  I'm watching Casino Royale #shakennotstirred	shakennotstirred	shaken not stirred
Good Morning #madrugadores!! I predict another day powered by coffee	madrugadores	madrugadores	Madrugadores
just what I needed ... google docs gone flaky during my only proposal writing block for the day  #cloudpain	cloudpain	cloud pain
Going to have to go to work at the #ANU soon	ANU	ANU	anu
#demiwithmcfly #demiwithmcfly #demiwithmcfly #demiwithmcfly #demiwithmcfly and #corruptedontwilight #corruptedontwilight  x please join in	corruptedontwilight	corrupted on twilight
